text,label
"It's been about 14 years since Sharon Stone awarded viewers a leg-crossing that twisted many people's minds. And now, God knows why, she's in the game again. ""Basic Instinct 2"" is the sequel to the smash-hit erotica ""Basic Instinct"" featuring a sexy Stone and a vulnerable Michael Douglas. However, fans of the original might not even get close to this one, since ""Instinct 2"" is painful film-making, as the mediocre director Michael Caton-Jones assassinates the legacy of the first film.<br /><br />The plot of the movie starts when a car explosion breaks in right at the beginning. Catherine Tramell (Sharon Stone, trying to look forcefully sexy) is a suspect and appears to be involved in the murder. A psychiatrist (a horrible David Morrisey) is appointed to examine her, but eventually falls for an intimate game of seduction.<br /><br />And there it is, without no further explanations, the basic force that moves this ""Instinct"". Nothing much is explained and we have to sit through a sleazy, C-class erotic film. Sharon Stone stars in her first role where she is most of the time a turn-off. Part of it because of the amateurish writing, the careless direction, and terrifyingly low chemistry. The movie is full of vulgar dialogues and even more sexuality (a menage a trois scene was cut off so that this wouldn't be rated NC-17) than the first entrance in the series. ""Instinct"" is a compelling torture.<br /><br />To top it off, everything that made the original film a guilty pleasure is not found anywhere in the film. The acting here is really bad. Sharon Stone has some highlights, but here, she gets extremely obnoxious. David Morrisey stars in the worst role of his life, and seems to never make more than two expressions in the movie- confused and aroused. ""Instinct 2"" is a horrible way to continue an otherwise original series, that managed to put in thriller with erotica extremely well. Paul Verhoeven, how I miss you....<br /><br />""Basic Instinct 2"" never sounded like a good movie, and, indeed, it isn't. Some films should never get out of paper, and that is the feeling you get after watching this. Now, it is much easier to understand why Douglas and David Cronenberg dropped out, and why Sharon Stone was expecting a huge paycheck for this......-----3/10",0
"someone needed to make a car payment... this is truly awful... makes jean Claude's cyborg look like gone with the wind... this is an hour I wish I could sue to get back... luckily it produced severe somnolence... from which I fell asleep. how can actors of this caliber create this dog? I would rather spend the time watching algae grow on the side of a fish tank than partake of this wholly awful concoction of several genre. I now use the DVD as a coaster on my coffee table. $5.99 at walmart is far too much to spend on this movie... if you really have to have it, wait till they throw them out after they have carried them on the inventory for several years and are frustrated that they would not sell.<br /><br />please for the love of god let this movie die of obscurity.",0
"The Guidelines state that a comment must contain a minimum of four lines. That is the only reason I am saying anything more about Tomcats. Because after all, my one line summary really says everything there is to say. There is absolutely NOTHING remotely entertaining in this film.",0
"This movie is a muddled mish-mash of clichés from recent cinema. There are some promising ideas in there, but while the director was clearly aiming to wind up with a hauntingly ambiguous film, what he ended up with was a confusing mess. Lead actor Daniel Wu does a fair job but with no central theme it seems as though he doesn't have much to work with. Furthermore, the movie is largely devoid of scares (although, in fairness, there are some creepy moments amid the drudgery).<br /><br />*MILD SPOILERS*<br /><br />We have the mysterious death of an estranged twin, diabolical librarians, ghostly love interests, identity confusion, death by savage monkeys, oedipal conflict, abusive stepfathers, sublimated homosexuality, and crime gang connections. The only real commonality these elements share seems to be that they cause the protagonist to express a vague sense of confusion and discontent. <br /><br />Perhaps the most disappointing aspect to this film is that despite the brother's death by monkeys being strongly featured on the DVD cover, the act itself is never directly portrayed. Instead, director Julian Lee uses what appears to be stock footage of monkeys - not very scary.<br /><br />*END SPOILERS*<br /><br />Avoid this one. For an excellent psychological, ambiguous horror tale, check out the Korean film A Tale of Two Sisters (2003).",0
"Before Stan Laurel became the smaller half of the all-time greatest comedy team, he laboured under contract to Broncho Billy Anderson in a series of cheapies, many of which were parodies of major Hollywood features. Following a dispute with Anderson, Laurel continued the informal series of parodies at Joe Rock's smaller (and more indigent) production company.<br /><br />Most of Laurel's parody films were only mildly funny at the time, and even less funny for modern audiences who haven't seen the original movie which Laurel is parodying. 'West of Hot Dog' is a fairly generic parody of cowboy shoot-'em-ups. It's marginally a specific parody of 'West of the Pecos', an oater released two years earlier with no major actors. Since 'West of the Pecos' was never a huge success, it's difficult to see why Stan's film unit chose this particular movie as a target for their lampoonery, much less why they waited so long after its release to parody it. And where did they get that title 'West of Hot Dog'? Possibly it's down to the fact that 'Hot dog!' was a sexual interjection favoured by American lechers in the 1920s. (As in the opening scene of the stage play 'Machinal'.) <br /><br />'West of Hot Dog' was produced and co-directed by Joe Rock. Among his many other achievements, Rock introduced Laurel to Lois Neilson, and he was subsequently best man at their wedding. Full disclosure: In the last years of his life, I had the great privilege of befriending Joe Rock and interviewing him. Nearly ninety years old at the time, Rock's memory was impressively clear ... but he remembered nothing at all about 'West of Hot Dog', and I can't blame him. This movie is eminently forgettable.<br /><br />The leading lady's character is named Little Mustard: If that's meant to be a parody of something in 'West of the Pecos', I don't get it. There are a couple of 'impossible' gags here, including Laurel's method for mounting a horse. For just one moment in this movie, Stan Laurel reminded me of the great Buster Keaton when he suddenly broke into a run. 'West of Hot Dog' is vaguely similar in subject matter and tone to Keaton's short comedy 'The Frozen North', but Keaton's version is much funnier. The plot of this film somewhat anticipates a situation in Keaton's feature 'Our Hospitality' but (again) suffers by comparison: here, two tough varmint brothers expect to inherit the Last Chance Saloon, but the previous owner has bequeathed it to weakling tenderfoot Stan. However, the brothers will become the legal heirs if Stan dies. Hmmm...<br /><br />Seriously, though: is such a bequest legal? As soon as Stan takes possession of the property, surely any further questions of ownership or inheritance become his decision, not the previous owner's decision. I had plenty of time to consider such points of law while watching this dull comedy.<br /><br />At one point, a gag involves some crude animation drawn directly onto the film stock. It looks cheap and isn't funny.<br /><br />This 'Hot Dog' is no weiner, and no winner: it's just a whiner. My rating: one point out of 10. Hang on, Stan: in a few more years you'll be one-half of a comedy legend.",0
"This is the best movie I've ever seen! <br /><br />Maybe it's because I live just a few miles from the village were the story take place, and I know how things work out in this area in Sweden. The movie tells the truth, believe me! It both criticizes and honors the lifestyle of Dalarna, and the producer wants people who watch the movie to be more opened minded and care more for your closest friends and relatives.<br /><br />But if you live in another small village anywhere in Sweden (or another country) you will probably also recognize much from this movie.<br /><br />Thank you Maria Blom!",1
"The morbid Catholic writer Gerard Reve (Jeroen Krabbé) that is homosexual, alcoholic and has frequent visions of death is invited to give a lecture in the literature club of Vlissingen. While in the railway station in Amsterdam, he feels a non-corresponded attraction to a handsome man that embarks in another train. Gerard is introduced to the treasurer of the club and beautician Christine Halsslag (Renée Soutendijk), who is a wealthy widow that owns the beauty shop Sphinx, and they have one night stand. On the next morning, Gerard sees the picture of Christine's boyfriend Herman (Thom Hoffman) and he recognizes him as the man he saw in the train station. He suggests her to bring Herman to her house to spend a couple of days together, but with the secret intention of seducing the man. Christine travels to Köln to bring her boyfriend and Gerard stays alone in her house. He drinks whiskey and snoops her safe, finding three film reels with names of men; he decides to watch the footages and discover that Christine had married the three guys and all of them died in tragic accidents. Later Gerard believes Christine is a witch and question whether Herman or him will be her doomed fourth husband. <br /><br />The ambiguous ""The Vierde Man"" is another magnificent feature of Paul Verhoeven in his Dutch phase. The story is supported by an excellent screenplay that uses Catholic symbols to build the tension associated to smart dialogs; magnificent performance of Jeroen Krabbé in the role of a disturbed alcoholic writer; and stunning cinematography. The inconclusive resolution is open to interpretation like in many European movies that explore the common sense and intelligence of the viewers. There are mediocre directors that use front nudity of men to promote their films; however, Paul Verhoeven uses the nudity of Gerard Reve as part of the plot and never aggressive or seeking out sensationalism. Last but not the least; the androgynous beauty of the sexy Renée Soutendijk perfectly fits to her role of a woman that attracts a gay writer. My vote is eight.<br /><br />Title (Brazil): ""O 4o Homem"" (""The 4th Man"")",1
"""Semana Santa"" or ""Angel Of Death"" is a very weak movie. Mira Sorvino plays a detective who is trying to find a killer who shoots arrows in people. Mira has an Italian accent which falters from time to time. Couldn't she just speak English? All the other characters have a forced Mexican\English accent which is distracting. The dialogue is very bad and the delivery of it is wooden. The cinematography looks nice, but that's not enough to save this tripe. THIS NEXT PART OF THIS REVIEW DOES CONTAIN SPOILERS!!!! <br /><br />During the climax it looks like the villain is going to get away, but then he comes back down stairs to get shot and do a cool stunt down the railing. That just shows this script has no originality whatsoever. AVOID!",0
"Somebody mastered the difficult task of merging sports with romance. In reality, sports and romance go together like oil and water. So, to successfully put the two together on screen... well, that is about the equivalent of splitting the atom. I never thought it could be done. I will be the first to say that in general I don't like romantic comedies... but I do like sports and most movies about sports. This movie was a pretty good mix of the two. Being a baseball fan, I could really appreciate the comedic ordeal with Ben Wrightman (Jimmy Falon) being a rabid Boston Redsox fan. Anyone who knows anything about baseball knows the curse of the Babe that plagued the Redsox for 86 years, and they know just how nuts about baseball a lot of Redsox fans are. The Farrely brothers did a great job capturing that and it made for good comedy. This was a very good movie that could appeal to many.",1
"Why did I waste 1.5 hours of my life watching this? Why was this film even made? Why am I even commenting on this film?<br /><br />One reviewer said this film took patience to watch and it was n't for everybody. I cannot figure out who this movie is for. maybe after dropping a hit of acid, SOMEBODY, SOMEWHERE could watch this and make some sense out of it. It is incoherent, it isn't experimental, it's plain and simple garbage. The film follows no plot line whatsoever, just when you think you have something, well.....you don't. <br /><br />I think the ending brought some finality to the film (no pun intended), the viewer gets a glimpse of what might have been going on. I don't think I put a spoiler in here, not that it would matter. This film is another must miss in the world of filmdom.",0
